proc rank,px,py,nx,ny,time,comm. time,omega 
3,3,3,800,800,10354927000000000000.000000,7442887000000000000.000000,1.950000
3,3,3,800,800,8972509999999998976.000000,6203437000000000000.000000,1.950000
4,3,3,800,800,8593760999999998976.000000,5800759000000000000.000000,1.950000
4,3,3,800,800,10135320000000000000.000000,7227574000000000000.000000,1.950000
4,3,3,800,800,9080223999999998976.000000,6304630000000000000.000000,1.950000
4,3,3,800,800,8939099999999998976.000000,6195650000000000000.000000,1.950000
4,3,3,800,800,8323776999999998976.000000,5753080000000000000.000000,1.950000
4,3,3,800,800,8253623999999998976.000000,5652663000000000000.000000,1.950000
4,3,3,800,800,8471024999999998976.000000,5619895000000000000.000000,1.950000
4,3,3,800,800,8396066999999998976.000000,5789955000000000000.000000,1.950000
4,3,3,800,800,8154346000000000000.000000,5429678000000000000.000000,1.950000
4,3,3,800,800,8403697999999998976.000000,5650531000000000000.000000,1.950000
4,3,3,800,800,8766392999999998976.000000,5877286000000000000.000000,1.950000
4,3,3,800,800,8264541999999998976.000000,5504900000000000000.000000,1.950000
4,3,3,800,800,8052947000000000000.000000,5299335000000000000.000000,1.950000
4,3,3,800,800,8602266999999998976.000000,5897914000000000000.000000,1.950000
4,3,3,800,800,8334672999999998976.000000,5599650000000000000.000000,1.950000
4,3,3,800,800,8003717000000000000.000000,5347190000000000000.000000,1.950000
4,3,3,800,800,8178907000000000000.000000,5484398000000000000.000000,1.950000
4,3,3,800,800,8303259999999998976.000000,5518007000000000000.000000,1.950000
4,3,3,800,800,8330663999999998976.000000,5709172000000000000.000000,1.950000
4,3,3,800,800,8564332999999998976.000000,5934386000000000000.000000,1.950000
4,3,3,800,800,8299494999999998976.000000,5608213000000000000.000000,1.950000
4,3,3,800,800,7978662000000000000.000000,5385640000000000000.000000,1.950000
4,3,3,800,800,8135501000000000000.000000,5483009000000000000.000000,1.950000
4,3,3,800,800,8085163000000000000.000000,5298395000000000000.000000,1.950000
4,3,3,800,800,8020154000000000000.000000,5362041000000000000.000000,1.950000
4,3,3,800,800,8330599999999998976.000000,5678481000000000000.000000,1.950000
4,3,3,800,800,8341656999999998976.000000,5805868000000000000.000000,1.950000
4,3,3,800,800,8358760999999998976.000000,5568243000000000000.000000,1.950000
4,3,3,800,800,10355121000000000000.000000,7374797000000000000.000000,1.950000
4,3,3,800,800,8972771999999998976.000000,6145650000000000000.000000,1.950000
5,3,3,800,800,8593763999999998976.000000,5861100000000000000.000000,1.950000
5,3,3,800,800,10135321000000000000.000000,7351957000000000000.000000,1.950000
5,3,3,800,800,9079288999999998976.000000,6333775000000000000.000000,1.950000
5,3,3,800,800,8938350999999998976.000000,6368696000000000000.000000,1.950000
5,3,3,800,800,8323133999999998976.000000,5644950000000000000.000000,1.950000
5,3,3,800,800,8253594999999998976.000000,5598478000000000000.000000,1.950000
5,3,3,800,800,8471020999999998976.000000,5954416000000000000.000000,1.950000
5,3,3,800,800,8396056999999998976.000000,5818401000000000000.000000,1.950000
5,3,3,800,800,8154345000000000000.000000,5567361000000000000.000000,1.950000
5,3,3,800,800,8403624999999998976.000000,5750592000000000000.000000,1.950000
5,3,3,800,800,8766259999999998976.000000,6024941000000000000.000000,1.950000
5,3,3,800,800,8263930999999998976.000000,5614238000000000000.000000,1.950000
5,3,3,800,800,8052944000000000000.000000,5444901000000000000.000000,1.950000
5,3,3,800,800,8602265999999998976.000000,5846177000000000000.000000,1.950000
5,3,3,800,800,8334056999999998976.000000,5699876000000000000.000000,1.950000
5,3,3,800,800,8003714000000000000.000000,5334245000000000000.000000,1.950000
5,3,3,800,800,8178905000000000000.000000,5426620000000000000.000000,1.950000
5,3,3,800,800,8303235999999998976.000000,5577225000000000000.000000,1.950000
5,3,3,800,800,8330665999999998976.000000,5589909000000000000.000000,1.950000
5,3,3,800,800,8563654999999998976.000000,5916925000000000000.000000,1.950000
5,3,3,800,800,8299492999999998976.000000,5802919000000000000.000000,1.950000
5,3,3,800,800,7978667000000000000.000000,5243831000000000000.000000,1.950000
5,3,3,800,800,8135496000000000000.000000,5563855000000000000.000000,1.950000
5,3,3,800,800,8084934000000000000.000000,5352420000000000000.000000,1.950000
5,3,3,800,800,8020151000000000000.000000,5491403000000000000.000000,1.950000
5,3,3,800,800,8330598999999998976.000000,5574947000000000000.000000,1.950000
5,3,3,800,800,8341669999999998976.000000,5710451000000000000.000000,1.950000
5,3,3,800,800,8358758999999998976.000000,5642257000000000000.000000,1.950000
5,3,3,800,800,10354927000000000000.000000,7397167000000000000.000000,1.950000
5,3,3,800,800,8972773999999998976.000000,6279375000000000000.000000,1.950000
6,3,3,800,800,8593759999999998976.000000,5867495000000000000.000000,1.950000
6,3,3,800,800,10135320000000000000.000000,7297053000000000000.000000,1.950000
6,3,3,800,800,9080222999999998976.000000,6279147000000000000.000000,1.950000
6,3,3,800,800,8938993999999998976.000000,6166077000000000000.000000,1.950000
6,3,3,800,800,8323775999999998976.000000,5647756000000000000.000000,1.950000
6,3,3,800,800,8253619999999998976.000000,5657624000000000000.000000,1.950000
6,3,3,800,800,8471023999999998976.000000,5847985000000000000.000000,1.950000
6,3,3,800,800,8395457999999998976.000000,5740201000000000000.000000,1.950000
6,3,3,800,800,8154348000000000000.000000,5416110000000000000.000000,1.950000
6,3,3,800,800,8403686999999998976.000000,5706968000000000000.000000,1.950000
6,3,3,800,800,8766387999999998976.000000,6193692000000000000.000000,1.950000
6,3,3,800,800,8264542999999998976.000000,5761115000000000000.000000,1.950000
6,3,3,800,800,8052951000000000000.000000,5384074000000000000.000000,1.950000
6,3,3,800,800,8602264999999998976.000000,5951905000000000000.000000,1.950000
6,3,3,800,800,8334615999999998976.000000,5749476000000000000.000000,1.950000
6,3,3,800,800,8003717000000000000.000000,5351444000000000000.000000,1.950000
6,3,3,800,800,8178893000000000000.000000,5552492000000000000.000000,1.950000
6,3,3,800,800,8303354999999998976.000000,5732849000000000000.000000,1.950000
6,3,3,800,800,8330663999999998976.000000,5677456000000000000.000000,1.950000
6,3,3,800,800,8564332999999998976.000000,5878121000000000000.000000,1.950000
6,3,3,800,800,8299492999999998976.000000,5719377000000000000.000000,1.950000
6,3,3,800,800,7978666000000000000.000000,5366175000000000000.000000,1.950000
6,3,3,800,800,8135500000000000000.000000,5443054000000000000.000000,1.950000
6,3,3,800,800,8085164000000000000.000000,5430738000000000000.000000,1.950000
6,3,3,800,800,8020128000000000000.000000,5473706000000000000.000000,1.950000
6,3,3,800,800,8330597999999998976.000000,5871737000000000000.000000,1.950000
6,3,3,800,800,8341667999999998976.000000,5616036000000000000.000000,1.950000
6,3,3,800,800,8358753999999998976.000000,5687504000000000000.000000,1.950000
6,3,3,800,800,10355051000000000000.000000,7448820000000000000.000000,1.950000
6,3,3,800,800,8972771999999998976.000000,6186347000000000000.000000,1.950000
7,3,3,800,800,8593763999999998976.000000,5853299000000000000.000000,1.950000
7,3,3,800,800,10134760000000000000.000000,7363903000000000000.000000,1.950000
7,3,3,800,800,9079576999999998976.000000,6312510000000000000.000000,1.950000
7,3,3,800,800,8938347999999998976.000000,6152668000000000000.000000,1.950000
7,3,3,800,800,8323777999999998976.000000,5749519000000000000.000000,1.950000
7,3,3,800,800,8253162999999998976.000000,5676714000000000000.000000,1.950000
7,3,3,800,800,8469697999999998976.000000,5707585000000000000.000000,1.950000
7,3,3,800,800,8396068999999998976.000000,5648478000000000000.000000,1.950000
7,3,3,800,800,8154340000000000000.000000,5517818000000000000.000000,1.950000
7,3,3,800,800,8403692999999998976.000000,5753288000000000000.000000,1.950000
7,3,3,800,800,8765964999999998976.000000,6010431000000000000.000000,1.950000
7,3,3,800,800,8264540999999998976.000000,5655118000000000000.000000,1.950000
7,3,3,800,800,8052948000000000000.000000,5444700000000000000.000000,1.950000
7,3,3,800,800,8602265999999998976.000000,5987115000000000000.000000,1.950000
7,3,3,800,800,8334071999999998976.000000,5604943000000000000.000000,1.950000
7,3,3,800,800,8003716000000000000.000000,5410387000000000000.000000,1.950000
7,3,3,800,800,8178910000000000000.000000,5593571000000000000.000000,1.950000
7,3,3,800,800,8302611999999998976.000000,5739517000000000000.000000,1.950000
7,3,3,800,800,8330664999999998976.000000,5749317000000000000.000000,1.950000
7,3,3,800,800,8563655999999998976.000000,5879936000000000000.000000,1.950000
7,3,3,800,800,8299002999999998976.000000,5600175000000000000.000000,1.950000
7,3,3,800,800,7978668000000000000.000000,5352856000000000000.000000,1.950000
7,3,3,800,800,8134970000000000000.000000,5399412000000000000.000000,1.950000
7,3,3,800,800,8085039000000000000.000000,5449198000000000000.000000,1.950000
7,3,3,800,800,8020151000000000000.000000,5474137000000000000.000000,1.950000
7,3,3,800,800,8330596999999998976.000000,5689503000000000000.000000,1.950000
7,3,3,800,800,8341669999999998976.000000,5785385000000000000.000000,1.950000
7,3,3,800,800,8356796999999998976.000000,5737362000000000000.000000,1.950000
7,3,3,800,800,10354925000000000000.000000,7462923000000000000.000000,1.950000
7,3,3,800,800,8972512999999998976.000000,6229678000000000000.000000,1.950000
8,3,3,800,800,8593761999999998976.000000,5820620000000000000.000000,1.950000
8,3,3,800,800,10135228000000000000.000000,7292422000000000000.000000,1.950000
8,3,3,800,800,9080226999999998976.000000,6352007000000000000.000000,1.950000
8,3,3,800,800,8939098999999998976.000000,6236447000000000000.000000,1.950000
8,3,3,800,800,8323677999999998976.000000,5756474000000000000.000000,1.950000
8,3,3,800,800,8253622999999998976.000000,5558038000000000000.000000,1.950000
8,3,3,800,800,8471025999999998976.000000,5977165000000000000.000000,1.950000
8,3,3,800,800,8396069999999998976.000000,5727010000000000000.000000,1.950000
8,3,3,800,800,8154347000000000000.000000,5616634000000000000.000000,1.950000
8,3,3,800,800,8403694999999998976.000000,5818259000000000000.000000,1.950000
8,3,3,800,800,8766374999999998976.000000,6069034000000000000.000000,1.950000
8,3,3,800,800,8264540999999998976.000000,5527178000000000000.000000,1.950000
8,3,3,800,800,8052928000000000000.000000,5505220000000000000.000000,1.950000
8,3,3,800,800,8602265999999998976.000000,5985368000000000000.000000,1.950000
8,3,3,800,800,8334493999999998976.000000,5687081000000000000.000000,1.950000
8,3,3,800,800,8003717000000000000.000000,5511257000000000000.000000,1.950000
8,3,3,800,800,8178903000000000000.000000,5594740000000000000.000000,1.950000
8,3,3,800,800,8303255999999998976.000000,5716345000000000000.000000,1.950000
8,3,3,800,800,8330658999999998976.000000,5595263000000000000.000000,1.950000
8,3,3,800,800,8564330999999998976.000000,5833067000000000000.000000,1.950000
8,3,3,800,800,8299495999999998976.000000,5525682000000000000.000000,1.950000
8,3,3,800,800,7978663000000000000.000000,5326125000000000000.000000,1.950000
8,3,3,800,800,8135503000000000000.000000,5603697000000000000.000000,1.950000
8,3,3,800,800,8085001000000000000.000000,5476303000000000000.000000,1.950000
8,3,3,800,800,8019583000000000000.000000,5300637000000000000.000000,1.950000
8,3,3,800,800,8330193999999998976.000000,5586262000000000000.000000,1.950000
8,3,3,800,800,8341668999999998976.000000,5800332000000000000.000000,1.950000
8,3,3,800,800,8358760999999998976.000000,5780893000000000000.000000,1.950000
8,3,3,800,800,10355121000000000000.000000,7496331000000000000.000000,1.950000
8,3,3,800,800,8972771999999998976.000000,6187457000000000000.000000,1.950000
